action,id,external_id,source,name,city,city_cluster,lat,lon,district,district_before,district_how,sport_ids,amenity_kinds,has_declared_sport,in_footprint,full_address,street_number,street_name,tags
update,4ed51d1f-63f6-4324-b92d-6e5e07d0c41c,246559370,directory,Chợ Văn Thánh,hcm,1,10.8018378,106.720806056601,hcm_thanhmytay,Quận Bình Thạnh,contains,4,pitch,True,True,"Chợ Văn Thánh, Hẻm 152 Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",,Hẻm 152 Nguyễn Văn Thương,building:[commercial] ;; opening_hours:[Mo-Su 04:30-20:00] ;; leisure:[pitch] ;; sport:[tennis]
update,accb6807-b8c0-4411-a274-84ba1742797d,246560637,directory,Khu Du Lịch Tân Cảng,hcm,1,10.8002591,106.725074394347,hcm_thanhmytay,Quận Bình Thạnh,contains,4,pitch,True,True,"Khu Du Lịch Tân Cảng, Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",,Điện Biên Phủ,leisure:[pitch] ;; sport:[tennis]
update,ad8d0d86-84a6-402c-93cd-dfc7ff51faaa,246559705,directory,Landmark Plus,hcm,1,10.79493525,106.719546929243,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Landmark Plus, Hẻm 180/45 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",,Hẻm 180/45 Đường Nguyễn Hữu Cảnh,leisure:[swimming_pool]
update,eb5215b2-926b-46d7-833f-8d31c3222fe7,246565100,directory,Nhà Hàng Trang Đỏ,hcm,1,10.797848,106.714665,hcm_thanhmytay,Quận Bình Thạnh,contains,4,pitch,True,True,"Nhà Hàng Trang Đỏ, Hẻm 294/120 Xô viết Nghệ Tĩnh, Phường 19, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",,Hẻm 294/120 Xô viết Nghệ Tĩnh,leisure:[pitch] ;; sport:[tennis]
update,165478ae-2cd2-45ea-817d-292af73a6b51,246555872,directory,Park 1,hcm,1,10.79105755,106.722245446848,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Park 1, Trần Trọng Kim, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,Trần Trọng Kim,height:[180] ;; building:levels:[50] ;; leisure:[swimming_pool]
update,ab0c0fb7-b410-4b58-ab24-d95dad53e667,246560430,directory,Park 2,hcm,1,10.7915569,106.722506396184,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Park 2, 208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",208,Nguyễn Hữu Cảnh,height:[180] ;; building:levels:[50] ;; leisure:[swimming_pool]
update,6eb35a64-41d4-437e-9e3e-255aca7a8c8c,246557812,directory,Park 3,hcm,1,10.7921644,106.722531253112,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Park 3, Trần Trọng Kim, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,Trần Trọng Kim,height:[180] ;; building:levels:[50] ;; leisure:[swimming_pool]
update,2794fb3a-e40f-4e66-997a-f7ab47bbff06,246560494,directory,Park 4,hcm,1,10.7926437,106.722472,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Park 4, Trần Trọng Kim, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,Trần Trọng Kim,height:[180] ;; building:levels:[50] ;; leisure:[swimming_pool]
update,e5e5368b-247a-4639-acf6-cc0dc7eebefc,246564650,directory,Phòng Tập Gym California & Fitness,hcm,1,10.8000341,106.7181886,hcm_thanhmytay,Quận Bình Thạnh,contains,,sports_centre,True,True,"Phòng Tập Gym California & Fitness, 561, Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",561,Điện Biên Phủ,sport:[gymnastics] ;; operator:[California Gym] ;; construction:[building] ;; leisure:[sports_centre]
update,5188b301-a597-42bb-ab05-000ed943fe90,246547122,directory,"Promenade 2, City Garden",hcm,1,10.79390825,106.712655744889,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Promenade 2, City Garden, 59, Ngô Tất Tố, Phường 19, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",59,Ngô Tất Tố,building:levels:[30] ;; leisure:[swimming_pool]
update,b6dadaa8-4f5e-4496-ba59-18b3fa139baa,246550272,directory,Skywalk Climbing,hcm,1,10.80585795,106.717964223158,hcm_thanhmytay,Quận Bình Thạnh,contains,,sports_centre,True,True,"Skywalk Climbing, 168/42a, Hẻm 168/44 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",,Hẻm 168/44 Nguyễn Gia Trí,fee:[yes] ;; sport:[climbing] ;; website:[https://skywalkvn.com] ;; building:[yes] ;; operator:[Skywalk Climbing] ;; opening_hours:[Mo-Su 09:00-22:00] ;; leisure:[sports_centre]
update,0166a72c-558a-4128-8448-9415f8b43720,246555811,directory,Sunwah Pearl Swimming Pool,hcm,1,10.78822205,106.718138821895,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Sunwah Pearl Swimming Pool, Đường D9, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,Đường D9,access:[private] ;; leisure:[swimming_pool]
update,f1c185d2-25d2-4e45-b29d-2a04c0afba14,246559310,directory,Sân cỏ nhân tạo Thiên Trường,hcm,1,10.8093921,106.7172565,hcm_thanhmytay,Quận Bình Thạnh,contains,1,pitch,True,True,"Sân cỏ nhân tạo Thiên Trường, Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72309, Việt Nam",,Nguyễn Gia Trí,sport:[soccer] ;; leisure:[pitch]
update,5e65cacb-6463-49df-9b7f-9a98583959ca,246553980,directory,Trường Tiểu Học Vinschool,hcm,1,10.7930363,106.720725852962,hcm_thanhmytay,Quận Bình Thạnh,contains,4,pitch,True,True,"Trường Tiểu Học Vinschool, Đường Vạn Hoa 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,Đường Vạn Hoa 3,leisure:[pitch] ;; sport:[tennis]
update,bf1501d2-8437-49f9-b896-7e099f28a5d4,246558354,directory,Tòa Nhà Ruby Tower - Saigon Pearl,hcm,1,10.7898202,106.720799968637,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Tòa Nhà Ruby Tower - Saigon Pearl, Đường D5, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,Đường D5,height:[120] ;; building:levels:[38] ;; leisure:[swimming_pool]
update,de54dd13-d12a-4a16-a31c-67fd8412c33a,246551313,directory,Van Thanh Swimming pool,hcm,1,10.7977905,106.71446214239,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,True,True,"Van Thanh Swimming pool, Hẻm 220 Xô Viết Nghệ Tĩnh, Phường 19, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",,Hẻm 220 Xô Viết Nghệ Tĩnh,sport:[swimming] ;; access:[customers] ;; leisure:[swimming_pool]
